Name,Release Date,Retail Price,Sale Price,Size,Sale Date,52wk High|Low,12mo Trade Range,Volatility,# of Sales,Price Premium,Avg Resale Price
/adidas-yeezy-boost-350-v2-antlia,06/22/2019,$220,$336,4.5,"Saturday, October 3, 2020",High $433 | Low $125,$295 - $377,12.2%,3500,52.7%,$273
/air-jordan-11-retro-midnight-navy-unc,11/11/2017,$220,$340,11,"Sunday, October 4, 2020",High $469 | Low $190,$310 - $370,8.9%,2555,54.5%,$287
/air-jordan-3-retro-tinker-white-university-red,03/30/2019,$225,$222,13,"Sunday, October 4, 2020",High $353 | Low $85,$189 - $253,14.5%,2527,$150,
/nike-air-fear-of-god-moccasin-black,05/17/2019,$170,$130,15,"Sunday, October 4, 2020",High $265 | Low $42,$111 - $149,14.6%,1826,$125,
/nike-sb-dunk-high-space-jam,11/27/2019,$110,$179,10,"Sunday, October 4, 2020",High $308 | Low $91,$161 - $197,10.0%,1743,62.7%,$153
/air-jordan-6-retro-hare-gs,06/17/2020,$140,$161,6Y,"Saturday, October 3, 2020",High $266 | Low $120,$150 - $172,6.8%,4789,15.0%,$179
/air-jordan-1-low-black-toe,04/01/2019,$90,$266,12,"Sunday, October 4, 2020",High $401 | Low $69,$218 - $314,18.2%,4264,195.6%,$163
/air-jordan-1-retro-high-rookie-of-the-year,11/17/2018,$160,$500,12,"Sunday, October 4, 2020","High $1,020 | Low $170",$347 - $653,30.6%,3630,212.5%,$376
/air-jordan-5-retro-michigan-2019,07/06/2019,$225,$280,11,"Sunday, October 4, 2020",High $500 | Low $90,$261 - $299,6.7%,2865,24.4%,$216
/adidas-yeezy-boost-700-salt,02/23/2019,$300,$399,8,"Sunday, October 4, 2020",High $596 | Low $181,$352 - $445,11.7%,2749,32.9%,$290
/nike-zoom-fly-off-white-pink,11/28/2018,$170,$357,9.5,"Saturday, October 3, 2020",High $685 | Low $231,$324 - $390,9.2%,1508,110.0%,$367
/adidas-yeezy-boost-700-v3-azael,12/23/2019,$200,$879,10,"Sunday, October 4, 2020","High $1,400 | Low $205",$777 - $981,11.6%,8269,339.5%,$557
/adidas-nmd-hu-pharrell-mother,08/18/2018,$250,$220,11,"Sunday, October 4, 2020",High $517 | Low $114,$153 - $287,30.4%,6168,$170,
/nike-sb-dunk-low-atmos-safari,03/14/2020,$100,$315,8,"Sunday, October 4, 2020",High $800 | Low $225,$228 - $402,27.8%,4854,215.0%,$328
/air-jordan-6-retro-psg-paris-saint-germain,08/10/2019,$225,$248,13,"Sunday, October 4, 2020",High $439 | Low $119,$220 - $272,10.8%,3934,9.3%,$203
